clean_text,sentiment
my apps ipodtouch5thgen,0.0
aapl call america for free until christmas tesco cuts costs for relaunch,0.0
so for the second time aapl pages ate my edits 700bn amateurs fail iwantjobsback,-1.0
feel so lost with out my phone iphone 5 chargers are horrendous brokenchargerprobs,-1.0
aaplapple heads to trial over digital music claims,0.0
excellent news houseofcards s3 on 272 i wonder if yosemite amp my wifi will be talking by then its been wks,-1.0
my laptop is burning my legs what do u have to say about this,-1.0
great news hope your wifi gets sorted though,1.0
the secret of life from steve jobs in 46 seconds some motivation from the late ceo of,0.0
10 best stevejobs apple aapl tech30 via,0.0
this makes me feel so sad why do u have to be so rood,-1.0
i hate these earphones so bad why in the world did they think it was a good idea to p,-1.0
i need to reinstall on my apple ipad 2,0.0
i salut you photo,1.0
macbook pro 13 nonretina first startup via macbook macbookpro startup hipster,0.0
macbook pro 13in unboxing via macbook macbookpro startup hipster unboxing,0.0
ipad mini unboxing via ipadmini ipad macbook macbookpro startup hipster unboxing,0.0
ipad mini first time startup via ipadmini ipad macbook macbookpro startup hipster unbox,0.0
smartphonetablet to become home automation hub how can any wireless protocol beat wifi and bluetooth homekit flic,0.0
options outlook amid heavy week of economic events aapl goog googl tsla wmt premarket markets,0.0
why you dying so fast phone fuck you,-1.0
fix this,-1.0
its been said dont talk about politics but i cant take it anymr ill still post about and others but we need change,0.0
does anybody knows how to use on a macbook pro retina us keyboard thank you so much macbook pro apple keyboard,0.0
the best guest behind apples rapid stock price decline yesterday is algorithmic trading 40bn wiped off by automatic computer trades aapl,0.0
awarded patent 4 augmented reality devices w transparent displays,0.0
apple iphone iphone4s iphone4problems someone fucking help me someone who works at apple fucking help me do ur job cunts,-1.0
wtf synching notes or icloud pages is unusable it used to be easier,-1.0
nasdaq100 recent market exit 4 sold aapl long for a 1049 gain in 20 days aapl forex trading stocks,0.0
hey fuck you just let me change stores,-1.0
about to write a huge fuck you to for not letting me make reservations to get my laptop fixed,-1.0
apple tumbles as much as 6 percent in unusual trading aapl aapl,-1.0
yes had that exact issue took it to for a free battery replacement trackpad ended up being fine,0.0
says machines caused big drop aapl,-1.0
yeah the trackpad is fine and working now but i had to damage one of the screw holdings to get the battery out,-1.0
video shows size of 122inch ipad air plus mockup next to iphones ipads and macbook aapl,0.0
rt steve jobs clave en juicio contra,0.0
fail since updating my ipad os there is a bug that does not delete videos and free up memory forcing,-1.0
apple opening new retail store in toledo ohio saturday december 6 mac blog aapl,0.0
why morgan stanley is negative on apple and the tech sector aapl aapl,0.0
google is now beating apple in this one key sector aapl aapl,0.0
bbc news evidence by late steve jobs to be used in music trial aapl,0.0
my alarm was set the ringer was on and it just refused to work fuck u,-1.0
n more in race to win payments whats future of payments startups,0.0
im lost because its deer season but there is no deer emoji come on how am i suppose to show the love to all my huntin friendz,-1.0
utilizing ibeacons for engagement to send messages to passbook personalization via,0.0
technology news trial to feature unseen late stevejobs video deposition,0.0
i figured out memory issue on my ipad it wasnt a bug but a new hidden folder that stores our images,-1.0
we will be in room 1215 at 315 today presenting on our experience with dep and herewegolakers,0.0
aaplpacific crests apple analyst reiterates selling some shares,0.0
pacific crests apple analyst reiterates selling some shares aapl aapl,0.0
applelawsuit depends on exactly what did to hold backbeat their competition there are fair game competitive tactics amp unfair 1s yk,-1.0
aapl audio auto sales due apple lawsuit heads to court,0.0
apples pt raised by canaccord genuity to 13500 buy rating aapl aapl,0.0
apples pt raised by canaccord genuity to 13500 buy rating aapl aapl,0.0
iphone6 has too many issues why tf is the earphone plug in not working u better fix this shit for free,-1.0
cheap chromebooks teach apple a lesson price matters aapl aapl,0.0
but trying to get launch info ahead of time from telco marketing teams was a nightmare thanks ecomchat,-1.0
dear replace my phone my battery sucks,-1.0
apple heads to trial over itunes update aapl,0.0
from beyond the grave rt jurors set 2 hear fr star witness at trial steve jobs,0.0
heads to trial over digital music claims appl tech,0.0
fantastic service today store touchwood thanks to all amp esp zach for sorting my battery problem so quickly amp efficiently,1.0
heres why apple dropped aapl aapl,0.0
apple intraday comments preopening premium users aapl stockaction trading stocks mkt,0.0
its always like that with new products from apple,0.0
rt dear replace my phone my battery sucks,-1.0
thats annoying they never get stuff right the first time,-1.0
what is going on with aapl,0.0
apple lower as analyst sees risk of sharp production cuts for iphone 6 plus in q1 aapl aapl,0.0
rt apple lower as analyst sees risk of sharp production cuts for iphone 6 plus in q1 aapl aapl,0.0
rt dear replace my phone my battery sucks,-1.0
thestreet apple gets price target boost on back of strong iphone demand aapl,1.0
aapl mt can apple clear name in ebooks drama eddy cue says hed do it again but take better notes,0.0
with now dual core technology,1.0
pacific crests apple analyst reiterates selling some shares forbes aapl,0.0
every student deserves a chance connected txed,0.0
im surprised there isnt more talk about what looked like a flash crash in aapl yesterday biggest range in years and largely ignored,-1.0
im surprised there isnt more talk about what looked like a flash crash in aapl yesterday biggest range in years and largely ignored,-1.0
a lack of equal access to technology places students and minorities at a disadvantage education is the great equalizer txed,0.0
rt apples pt raised by canaccord genuity to 13500 buy rating aapl aapl,0.0
apple fibonacci technicals levels intraday preopening aapl aapl,0.0
realmac software launches typed a markdown writing app featuring a minimal interface mac blog aapl,0.0
product line competes with itself iphone6 vs ipad who needs an ipad any longer,0.0
aaplfast money recap energy companies ebb and flow with oil prices,0.0
enjoying the introductions at the connected launch event some amazing edtech leaders in the room txed,1.0
got a new phone iphone6plus,1.0
3 more applewatch details exposed aapl,0.0
us government attempts hail mary to get apple to unlock iphones aapl,0.0
apple fibonacci technicals levels intraday update aapl aapl,0.0
heres why apple wont be a trillion dollar company according to billionaire vc jim breyer aapl,-1.0
chromebooks overtake apples ipads in us education market chromebooks ipad,-1.0
apple inc is doomed aapl dropped by 154 currently priced at 1133 aapl,-1.0
imagine a world without cracked iphone screens patents drop protection mechanism,0.0
healthkit first movers featured at mobiquitys own also panelist,0.0
aaplhow to remove apple pay credit cards remotely from,0.0
wants you to stop taking vertical photos via,-1.0
10 best steve jobs emails apple stevejobs aapl,0.0
apple is reportedly planning a 12inch ipad that will be like microsofts surface aapl aapl,0.0
apple patents an iphone drop protection mechanism that changes device tuesday 2 december,0.0
props for itc app review team for reviewing metadata rejected resubmission in just 2 hours thanks,1.0
apple bears get paid as put contracts double amid drop news aapl applebears appleoptions apple iphone news,0.0
yall some hoes,-1.0
whats at the core of new ios7 excellent updates for your phones mobilesecurity mcafee,1.0
thanks for keep newer when transferring files from a local hard drive to a server,1.0
does store in georgetown sell refurbd ipads or just new are refurbs only available online,0.0
apple fibonacci technicals levels intraday update aapl aapl,0.0
apple flash crash what you need to know aapl,0.0
why estimates of a 1 trillion market cap for apple are still farfetched fundamental and algorithmic analysis aapl,0.0
i believe they are only online but you may be able to ship to store,0.0
did you notice that apps now say get instead of free this change was due to alleged misleading labeling,-1.0
apple intraday comments updated range premium users aapl stockaction trading stocks mkt,0.0
aapl market cap passes 700 billion tablet sales slump and more,0.0
thanks also interestingly isnt apple,0.0
it is very confusing u wonder if it means u are going to get a bill later for ur download please use free if its free,-1.0
elgato launches thunderbolt 2 dock with 4k resolution support mac blog aapl,0.0
the epaper fes watch is the coolest piece of wearable tech yet sorry by via,0.0
finally gave up on return of 17 macbook pro model my 15 retina is out for delivery theyll probably announce one next month,0.0
apple intraday comments updated new range premium users aapl stockaction trading stocks mkt,0.0
apple loses ground to google in education tablet sales aapl aapl,-1.0
apple computer inc aapl rated buy with price target 135 by canaccord genuity aapl,0.0
what do i need to do if my mac has been really slow lately,-1.0
apple fibonacci technicals levels intraday update aapl aapl,0.0
rt enjoying the introductions at the connected launch event some amazing edtech leaders in the room txed,1.0
aapl aapl green right now hope it stays,0.0
rt customer service successes amp fails amp examples custserv cx cem,0.0
sprint offering to halve wireless bills for customers switching from atampt or verizon ios blog aapl,0.0
affluent apple users outspend android users but what do the numbers really mean aapl aapl,0.0
new meaning to soviet jokes whatever we produce it turns out as tank russia seeks kalashnikov to rival,0.0
your stupid as shit upgrade has ruined the god damned ide,-1.0
you pieces of shit god damnit man,-1.0
hey how come i cant make genius bar appointments online anymore,-1.0
have apples ipad sales peaked aapl,0.0
what happened rt you pieces of shit god damnit man,-1.0
apple gets price target boost on back of strong iphone demand aapl aapl,0.0
aapl6 reasons apple could have fallen 6 yesterday,0.0
pay compuserve btc the internet,0.0
apple lower following cautious pac crest deutsche notes aapl crus,0.0
awesome invented peanutbuttersandwich technology for phones,1.0
apple fibonacci technicals levels intraday update aapl aapl,0.0
lol fuck you im still not buying a new one,-1.0
aapl buy reiterated target raised to 135 by canaccord genuity aapl brief explanation here aapl,0.0
aaplcanaccord ups apple price target to 135 a share,0.0
economic temperature spiking or terrorist attack either way how youre not all in via aapl,0.0
has caused me so much pain today,-1.0
as apple still struggles to meet iphone6 demand canaccord raises price tuesday 2 december,-1.0
not cool not cool you just baitandswitched me into paying for an upgrade to server after a free upgd to 10101,-1.0
steve wozniak to star in an upcoming reality tv show focusing on futuristic tech mac blog aapl,0.0
iphone shortages not helping radioshack as consumer sales plummet aapl,-1.0
stevejobs will be a crucial witness against apple in an ipod antitrust suit via aapl,0.0
thestreet android phones to dominate through 2018 while ios phone revenue will dazzle goog aapl,1.0
thestreet apple gets price target boost on back of strong iphone demand aapl,0.0
rt thestreet apple gets price target boost on back of strong iphone demand aapl,0.0
apple should fight new court case over stevejobs drm decision forbes aapl,0.0
all computers are susceptible to adware and dont believe that computers are immune see this post from apple,0.0
6 reasons apple could have fallen 6 yesterday forbes aapl,0.0
can yall please send me my fuckin phone,-1.0
anyone know how to fix this xcode no simulators tried complete reinstall ios,-1.0
apple bears get paid as put contracts double amid drop aapl aapl,0.0
early adoption issues for applepay blackfriday tokenization,0.0
cnbctv apple fighting monopoly allegations aapl,-1.0
cnbctv iphone growth peaked aapl,0.0
cnbctv analyst worries about iphone growth aapl,0.0
cnbctv cramer applewatch a dazzler aapl,1.0
cnbctv cramer trading apple suckers game aapl,-1.0
cnbctv apple heads to trial aapl,0.0
rt apple bears get paid as put contracts double amid drop aapl aapl,0.0
seen a bunch of people tweeting about search twitter then dev forums i dont remember solution,0.0
iad programmatic advertising is a sign of the times but it doesnt match the companys innovative rep,0.0
this is huge my isp is peering directly with amp others getting 6ms ping response,1.0
make sd cards so we can add memory to our iphone because we all know you wont allow sd cards until you profit from it,-1.0
woah 7 cashback from store for cybermonday deals at ipads iphones mac and more,1.0
all computers are susceptible to adware and dont believe that computers are immune see this post from,0.0
apple intraday comments new range premium users aapl stockaction trading stocks mkt,0.0
6 reasons apple could have fallen 6 yesterday aapl aapl,0.0
apple patents an iphone drop protection mechanism that changes device tuesday 2 december,0.0
google chromecast leapfrogs apple tv as the aging media player loses ground to rivals aapl,-1.0
apple macbook 94986 tech,0.0
my phone keeps fucking freezing,-1.0
rt apple macbook 94986 tech,0.0
rt apple macbook 94986 tech,0.0
gorgeous lighting grandcentralstation,0.0
when you cant hear people through your headphones thank you for the headphones and,-1.0
new patent has its iphones doing mid air tricks to avoid breaking technology apple patent tech,0.0
ive been considering suing for putting that shitty u2 album on my phone,-1.0
patents dropproof mechanism breaks laws of physics with antigravity via getagoodcase,0.0
i believe it i bought an fire tv for 69 youve lost another customer,-1.0
apple goes to trial over 1 billion digital music lawsuit in california aapl aapl,-1.0
rt my phone keeps fucking freezing,-1.0
worth reading design comparison of and map apps ux,0.0
damn i wish i could get u an iphone so we could imessage but i dont have enough money damn damm damn,0.0
morgan stanley sells apple inc but aapl stock still a buy aapl,0.0
late apple inc cofounder steve jobs testifies in itunes case aapl,0.0
ikr but u dont need tobc ill hopefully buy one on christmas if my grades are 1720,1.0
rt damn i wish i could get u an iphone so we could imessage but i dont have enough money damn damm damn,-1.0
aaplandroid phones to dominate through 2018 while ios phone revenue will,-1.0
holiday weekend v android who came out on top,0.0
need to sort this bllshit out with safari in yosemite safari can not find server apple macbook yosemiteproblems yosemite,-1.0
apple canaccord merrill up targets on iphone cycle mostly priced into the stock says pac crest aapl aapl,0.0
faces 1b lawsuit over ipod allegations legal tech lawsuit,-1.0
aaplheres why apple wont be a trillion dollar company according to billi,0.0
gets patent to prevent cracked screens by rotating iphones as they fall apple,0.0
not happy with backwards compatibility should be a given it is for my other apps why not aperture money grab,-1.0
rt apple macbook 94986 tech,0.0
why isnt on twitter,0.0
higher ups can link that link back to your email address,0.0
hey love ya but applecare lowfi hold music is awful would prefer to hear tips on using apple gear better use of my hold time,-1.0
macbook pro 13 nonretina first startup via macbook macbookpro startup hipster,0.0
macbook pro 13in unboxing via macbook macbookpro startup hipster unboxing,0.0
ipad mini unboxing via ipadmini ipad macbook macbookpro startup hipster unboxing,0.0
ipad mini first time startup via ipadmini ipad macbook macbookpro startup hipster unbox,0.0
apples iphone 6 may face patent dispute from chinese vendor with lookalike device aapl aapl,-1.0
eddy cue speaks about ibooks pricefixing case we feel we have to fight for the truth aapl,0.0
russia could ban apple inc iphone for lawmakers report aapl,0.0
as a die hard customer i must say i am truly displeased with the customer service i was given yesterday badservice apple,-1.0
i would like an rep to reach out to me and resolve the issue,0.0
aapl has 4 analyst ratings in the last 7 days and 100 are positive median target 1375 19 upside aapl,0.0
rt apple macbook 94986 tech,0.0
is this deal still available,0.0
cnbctv apple arguably most innovative company in world pro aapl,1.0
hi craig yes this offer is still available please visit us online to purchase,0.0
cnbctv day 1 apples antitrust trial aapl,0.0
aapl i think it will be valued at 140145s at next yeardeath of steve jobs damaged samsung more than apple,0.0
eu nice iphone ya got there pity if something were to happen to it,0.0
aaplapple heads to trial with steve jobs as a witness,0.0
rt bloombergtv stevejobs testimony to play key role in ipod trial aapl,0.0
deutsche bank sees risk of apple iphones sharp production cuts aapl aapl,0.0
verrcktes gercht iphone6s zum apple watch tuesday 2 december,0.0
chromecast leapfrogs tv as the aging media player loses ground to rivals,0.0
gets patent to prevent cracked screens by rotating iphones as they fall,0.0
plz kill verizon soooo i dont have weird apps and passcodes and synchronized locations on everything,-1.0
rt aapl i think it will be valued at 140145s at next yeardeath of steve jobs damaged samsung more than apple,-1.0
strikes me as somewhat stupid that have sent me a brand new iphone without the latest software on so i cant restore my old stuff,-1.0
really needs to do something about these bullshit cords,-1.0
back from the dead old ipods drag apple to court aapl stevejobs,0.0
up 169 is apple supplier skyworks still a buy swks aapl brcm mu qcom vti,0.0
5 gorgeous iphone apps with surprising designs and amazing visuals bgr aapl,1.0
rt legendary designer gives young designers 2 simple rules to follow via,0.0
my iphone 3 which has been sitting quietly for a year in a protective case just split open at the back,-1.0
silver merchants prefer bitcoin to applepay payments retail banking,0.0
yes now is a perfect time to lock my screen and install a software update without asking not,-1.0
me too mt as a die hard customer i am truly displeased with the customer service i was given yesterday badservice,-1.0
chinese phone vendor claims apples iphone 6 looks too similar aapl aapl,0.0
agreedhave to give props to for battery life on new iphones its so good tlchat,1.0
winter can be scary but you can stay safe winnipeg with our free app,0.0
apple fibonacci technicals levels intraday update aapl aapl,0.0
rt apple fibonacci technicals levels intraday update aapl aapl,0.0
i hate the microphone shit on the imessage please take it the fuck off,-1.0
a4 sounds like i need to upgrade to the iphone 6 although my spacious purse holds many items tlchat,0.0
apple patents method to make iphones fall like a cat aapl,0.0
aaplapple should fight the new court case over steve jobs drm decision,0.0
apple in the dock 1 billion antitrust claim casts stevejobs as conspirator aapl,-1.0
apple bears get paid as put contracts double amid drop aapl,0.0
hell yeah steve stick it to the man,1.0
dear ive been an apple user for over 20 years and cant remember a bug like this current safari on fixit,-1.0
dear kindly fuck off with your m4a format regards music listeners everywhere,-1.0
if were like 1031 would have been released already bb is not playing catch up they have time to assure its perfect,0.0
a6 speaking of wearables the new chargehr amp an iphone 6 i want to eat latkes and run in place tlchat,0.0
sounds like wed travel well together then tlchat,0.0
gt a5 chipping in here i am inspired by the iphone 6 takes incredible photos pin sharp,1.0
was pleased to meet a fellow tweep at connected event a fellow tbcoach practitioner it was great to meet irl txed,1.0
our buddies are at eye level in the store startups nice,0.0
apple watch on track for february 2015 release testing underway rumour aapl aapl,0.0
i can think of 100 reasons not to if your on a 4s fuck,-1.0
rt apple watch on track for february 2015 release testing underway rumour aapl aapl,0.0
rt our buddies are at eye level in the store startups nice,0.0
its unfollow unlike tuesday how many can you unlike unfollow socialcleanuptuesday,0.0
i agree get does not explicitly imply free,0.0
also wtf i dont even live in kirkby,-1.0
the innovation sector has the largest multiplier effect when it comes to jobs employs 13000 while creating 70000 indirect jobs,1.0
morgan stanley sells apple inc but aapl stock still a buy aapl aapl,0.0
theres a movie in my itunes match icloud that i cant remove actually its a trailer very annoying,-1.0
silver finish the applewatch places second before its even out via aapl,1.0
siri be on that bull shit telling me its not gonna rain and shit da fuck i pay for her for,-1.0
give me a job so i never have to suffer through windows os for personal nor work use,1.0
nasdaq100 recent market exit 4 sold aapl long for a 1049 gain in 20 days aapl forex trading stocks,0.0
unseats in us classrooms as chromebooks beat ipads,-1.0
is the of shopping you have paid but you may or not receive your goods or flight far better at custserv,1.0
waiting on my ipod bubblews via apple,0.0
changing words that arent even misspelled like where do they really do that at i would really like to know,-1.0
russia could ban apple inc iphone for lawmakers report aapl,-1.0
there is a lot more that goes into building a brand you dont becom just by picking a good name,0.0
apple inc short interest down significantly in november aapl,0.0
dont worry you can crash anything not even can stop you,0.0
macmail on os x yosemite is really giving me a hard time is there an alternative email program out there yosemiteproblems,-1.0
russian lawmaker thinks the iphone is stealing state secrets aapl aapl,-1.0
apple fibonacci technicals levels last intraday update aapl aapl,0.0
rt apple fibonacci technicals levels last intraday update aapl aapl,0.0
autocorrect changes actual words to other words but when i spell an actual word wrong it doesnt correct it fuck yall niggas,-1.0
macbook love today,1.0
movie chef so original amp well executed reminded me of the days steve jobs dreaming up and then created the iphone,1.0
apple patents an iphone drop protection mechanism that changes device tuesday 2 december,0.0
apple intraday comments last update premium users aapl stockaction trading stocks mkt,0.0
what happened to apple inc aapl apple,0.0
what the hell is this 5gbs of other data on my phone,-1.0
if i tweet about nandos my phone puts it in caps i like the iphone six it knows my favourite restaurant good phone gg,1.0
appledec 2 trading daily profit 334sh weekly profits of 1337sh aapl stockaction trading stocks mkt,0.0
